LONGITUDE,LATITUDE
157.53,51.80
157.38,51.88
157.53,52.02
157.70,52.06
157.85,52.11
157.48,52.08
157.32,52.15
157.43,52.22
157.33,52.33
157.60,52.25
158.20,52.45
157.79,52.26
157.83,52.35
157.93,52.43
158.03,52.56
157.34,52.54
157.02,52.57
157.58,52.63
158.30,52.68
158.27,52.82
158.52,52.92
158.30,52.88
157.78,52.90
158.69,53.32
158.83,53.26
158.10,53.63
158.42,53.63
158.92,53.64
159.15,53.59
158.38,53.90
158.07,53.90
159.45,53.98
159.43,54.05
159.67,54.13
160.02,54.32
159.80,54.53
159.97,54.50
160.25,54.49
160.27,54.59
160.53,54.75
160.70,54.97
160.72,55.03
160.77,55.07
160.32,55.13
160.59,55.23
161.75,55.92
160.33,55.83
160.53,55.76
160.60,55.86
160.59,55.98
160.59,56.02
160.64,56.06
160.47,56.10
160.83,56.38
160.87,56.53
161.36,56.65
167.33,55.42
157.38,54.75
157.73,55.68
157.98,55.82
157.78,55.88
158.47,55.20
158.65,55.43
158.38,55.58
158.80,55.65
158.38,56.08
157.80,56.47
158.37,56.37
158.67,56.33
158.83,56.32
159.03,56.37
158.85,56.40
158.52,56.57
158.95,56.82
159.53,56.52
159.65,56.70
159.67,56.82
159.80,56.85
159.95,56.88
159.78,56.97
159.93,57.10
160.40,57.13
160.08,57.23
160.20,57.33
159.83,57.30
159.97,57.32
160.10,57.40
160.20,57.43
160.37,57.45
160.53,57.53
160.40,57.70
160.58,57.70
160.67,57.80
160.25,57.83
160.53,57.88
160.65,57.97
160.75,58.02
160.77,58.08
160.82,58.18
160.97,58.20
160.87,58.28
161.08,58.40
160.62,58.37
165.63,66.12
165.20,67.17
143.73,66.43
135.50,44.50
118.07,56.33
117.47,56.18
103.25,50.52
102.50,51.50
98.98,52.70
98.00,52.33
99.70,48.17
102.75,48.67
109.08,47.12
114.00,45.33
106.70,45.28
89.25,42.90
86.50,42.50
80.20,35.52
91.70,35.85
113.28,40.00
113.00,41.47
125.92,49.37
126.12,48.72
128.83,44.08
126.50,42.33
128.08,41.98
128.00,41.33
127.33,38.33
130.87,37.50
126.53,33.37
175.98,52.37
177.60,52.10
178.13,52.02
178.33,51.97
178.53,51.95
179.62,51.95
-178.80,51.78
-178.13,51.88
-178.02,51.87
-177.43,51.90
-177.17,51.92
-176.75,51.93
-176.60,51.98
-176.13,52.08
-175.50,52.18
-175.13,52.22
-174.93,52.03
-174.15,52.38
-172.52,52.32
-171.25,52.50
-171.13,52.57
-170.63,52.63
-170.12,52.75
-170.05,52.90
-169.95,52.82
-169.77,53.07
-169.72,52.97
-168.68,53.13
-168.55,53.15
-168.13,53.42
-168.03,53.93
-166.93,53.90
-166.67,53.98
-165.97,54.13
-164.65,54.52
-164.35,54.67
-163.97,54.75
-163.73,54.75
-163.60,54.80
-163.15,55.42
-162.82,55.07
-162.27,55.18
-162.07,55.33
-161.90,55.42
-161.87,55.45
-161.22,55.62
-160.00,55.93
-159.80,56.02
-159.38,56.17
-158.80,56.53
-158.17,56.88
-157.18,57.02
-157.00,57.13
-156.75,57.38
-155.42,57.87
-156.37,57.75
-156.52,57.83
-155.35,58.17
-155.25,58.20
-155.08,58.23
-154.98,58.27
-155.16,58.27
-155.10,58.35
-154.68,58.33
-154.45,58.42
-154.40,58.43
-154.35,58.47
-154.30,58.48
-154.05,58.62
-153.68,58.77
-153.55,58.87
-153.42,59.37
-153.08,60.03
-152.75,60.48
-152.25,61.30
-152.48,61.62
-164.33,66.35
-163.92,65.60
-170.43,63.60
-162.12,63.45
-164.47,61.43
-166.33,60.02
-170.30,57.18
-148.42,64.07
-144.13,62.22
-144.02,62.00
-143.08,62.13
-141.75,61.38
-135.75,57.05
-133.10,56.50
-133.30,55.25
-131.05,55.32
-137.38,62.93
-135.42,60.42
-133.32,59.68
-131.97,58.60
-131.35,58.42
-130.63,57.72
-130.68,57.43
-131.28,56.78
-130.55,56.58
-128.90,55.12
-130.23,54.70
-128.73,52.50
-124.70,52.47
-123.73,52.90
-120.57,52.33
-126.30,51.43
-123.40,50.80
-123.50,50.63
-123.03,49.92
-123.00,49.85
-121.82,48.79
-121.11,48.11
-121.76,46.87
-121.49,46.21
-122.18,46.20
-122.08,45.88
-121.82,45.93
-121.69,45.37
-121.80,44.69
-121.77,44.42
-121.93,44.38
-121.84,44.33
-121.84,44.28
-121.77,44.17
-121.77,44.10
-121.69,43.98
-121.82,43.57
-121.23,43.72
-120.86,43.51
-120.75,43.47
-120.67,43.36
-122.11,43.24
-122.12,42.93
-122.20,42.55
-118.75,43.10
-117.80,43.00
-117.42,43.03
-117.59,43.61
-122.20,41.42
-121.57,41.58
-121.44,41.18
-121.36,40.96
-121.60,40.78
-121.55,40.68
-121.43,40.63
-121.51,40.49
-120.83,40.63
-122.77,38.97
-119.03,38.00
-119.00,37.88
-119.02,37.69
-118.87,37.70
-119.05,37.58
-117.45,37.02
-118.32,36.36
-117.82,36.03
-116.63,34.75
-115.78,34.55
-114.43,43.07
-113.50,43.42
-113.22,42.88
-112.45,43.50
-110.67,44.43
-119.72,39.38
-115.97,38.48
-116.55,36.77
-113.63,37.26
-113.12,37.33
-112.41,37.33
-112.67,37.58
-112.50,38.97
-107.03,39.65
-113.13,36.38
-111.50,35.37
-105.93,33.78
-108.00,34.80
-106.57,35.87
-104.08,36.42
-129.58,46.52
-130.20,45.03
-124.25,31.75
-155.27,18.92
-155.29,19.42
-155.61,19.48
-155.47,19.82
-155.87,19.69
-156.57,20.57
-156.25,20.71
-157.80,21.37
-158.75,21.75
-163.83,23.58
-104.30,9.82
-86.15,0.79
-148.85,-17.57
-148.60,-17.64
-148.67,-18.32
-148.07,-17.87
-140.25,-28.98
-109.45,-27.12
178.77,-49.68
-140.30,-53.90
-143.17,-55.97
-115.31,32.42
-113.50,31.77
-116.00,30.47
-114.38,29.81
-114.50,29.33
-113.51,29.08
-118.28,29.07
-113.75,28.50
-115.00,28.00
-112.59,27.47
-111.86,27.39
-110.82,19.30
-110.95,18.78
-104.45,24.15
-104.73,21.45
-104.70,21.27
-104.50,21.13
-104.83,20.62
-103.62,19.51
-102.25,19.48
-99.76,19.72
-99.48,19.08
-99.13,19.08
-98.82,19.17
-99.00,19.32
-98.81,19.75
-98.75,19.92
-98.70,19.31
-98.64,19.18
-98.62,19.02
-98.03,19.23
-97.27,19.03
-95.17,18.57
-93.23,17.36
-92.11,15.13
-91.90,15.03
-91.55,14.76
-91.48,14.82
-91.43,14.75
-91.19,14.58
-91.19,14.61
-90.88,14.50
-90.88,14.47
-90.74,14.47
-90.60,14.38
-90.40,14.33
-90.41,14.16
-90.10,14.03
-90.00,14.30
-89.73,14.12
-89.87,14.33
-89.78,14.40
-89.68,14.42
-89.63,14.55
-89.55,14.83
-89.35,14.65
-89.79,13.89
-89.63,14.05
-89.47,14.27
-89.63,13.85
-89.63,13.81
-89.55,13.87
-89.29,13.74
-89.12,13.90
-89.05,13.67
-88.85,13.62
-88.77,13.72
-88.53,13.45
-88.50,13.50
-88.47,13.42
-88.32,13.48
-88.27,13.43
-87.85,13.28
-87.76,13.22
-87.63,13.27
-87.63,13.33
-87.98,14.98
-86.90,16.10
-87.57,12.98
-87.00,12.70
-86.85,12.60
-86.75,12.55
-86.70,12.51
-86.69,12.49
-86.54,12.42
-86.34,12.24
-86.32,12.12
-86.16,11.98
-86.03,11.92
-85.97,11.83
-85.82,11.73
-85.62,11.54
-85.51,11.45
-83.92,12.68
-85.47,10.98
-85.32,10.83
-85.15,10.75
-85.01,10.67
-85.07,10.47
-84.70,10.46
-84.66,10.32
-84.31,10.42
-84.37,10.30
-84.23,10.20
-84.10,10.14
-83.85,9.98
-83.77,10.03
-82.56,8.80
-80.91,8.52
-75.30,5.09
-75.32,4.90
-75.37,4.82
-75.33,4.67
-75.40,4.48
-76.05,2.92
-76.40,2.32
-76.58,2.12
-76.78,1.57
-76.92,1.47
-77.37,1.22
-77.68,1.08
-77.88,0.98
-77.96,0.83
-77.58,0.55
-78.36,0.31
-78.27,0.13
-77.99,0.03
-77.66,-0.08
-78.46,0.04
-78.60,-0.17
-78.62,-0.35
-78.25,-0.38
-78.14,-0.48
-77.72,-0.43
-77.63,-0.54
-78.71,-0.66
-78.44,-0.68
-78.90,-0.85
-78.44,-1.47
-78.61,-1.78
-78.33,-2.03
-91.55,-0.37
-91.55,-0.02
-91.35,0.02
-91.28,-0.18
-91.12,-0.43
-91.17,-0.83
-91.42,-0.90
-90.75,0.58
-90.47,0.33
-89.96,0.32
-90.77,-0.22
-90.33,-0.62
-90.45,-1.30
-89.50,-0.88
-72.63,-15.23
-72.65,-15.52
-72.33,-15.42
-71.85,-15.78
-71.17,-14.37
-71.53,-16.19
-71.41,-16.29
-70.90,-16.35
-70.85,-16.61
-70.60,-16.75
-70.36,-17.02
-70.20,-17.18
-69.82,-17.47
-69.77,-17.72
-69.48,-17.87
-69.03,-18.05
-68.92,-17.92
-68.53,-18.25
-68.80,-18.32
-69.15,-18.17
-69.05,-18.37
-69.17,-18.42
-68.07,-18.50
-68.75,-18.62
-69.05,-18.73
-68.53,-19.13
-68.83,-19.15
-68.97,-19.42
-68.65,-19.49
-66.48,-19.78
-68.55,-20.73
-68.63,-20.83
-68.20,-20.85
-68.48,-20.93
-68.47,-21.22
-67.75,-21.25
-68.18,-21.30
-67.50,-21.50
-66.88,-21.60
-66.50,-21.67
-67.47,-21.68
-68.23,-21.78
-68.40,-21.88
-67.90,-21.88
-68.15,-22.12
-68.10,-22.20
-67.42,-22.25
-67.22,-22.27
-68.03,-22.35
-67.90,-22.43
-67.87,-22.57
-67.88,-22.73
-67.88,-22.83
-67.58,-22.88
-67.75,-23.00
-67.65,-23.23
-67.62,-23.30
-67.67,-23.35
-67.73,-23.37
-67.70,-23.58
-67.53,-23.75
-67.62,-23.85
-67.95,-23.83
-68.05,-24.18
-68.25,-24.18
-67.77,-24.27
-68.25,-24.40
-68.60,-24.28
-68.53,-24.72
-66.48,-24.05
-68.37,-25.08
-68.50,-25.17
-68.52,-25.33
-68.58,-25.42
-68.00,-25.53
-67.50,-26.08
-68.58,-26.48
-68.35,-26.62
-68.15,-26.62
-67.72,-26.77
-68.37,-26.80
-68.53,-27.12
-68.55,-27.20
-69.13,-27.30
-80.12,-26.27
-78.85,-33.66
-76.83,-33.62
-69.80,-33.40
-69.90,-33.78
-69.83,-34.16
-70.29,-34.61
-70.35,-34.81
-70.57,-35.24
-70.80,-35.46
-70.50,-35.56
-70.75,-35.58
-70.76,-35.65
-70.81,-35.72
-70.58,-36.02
-70.85,-35.99
-71.16,-36.19
-71.01,-36.29
-70.92,-36.45
-69.20,-36.42
-70.42,-36.63
-71.38,-36.86
-70.03,-37.14
-69.62,-37.55
-71.35,-37.41
-71.17,-37.85
-71.45,-37.92
-71.64,-38.31
-71.58,-38.38
-71.08,-38.37
-71.73,-38.69
-71.52,-38.97
-71.83,-39.20
-71.70,-39.27
-71.82,-39.30
-71.93,-39.42
-71.70,-39.50
-71.50,-39.63
-71.55,-39.87
-72.03,-39.93
-72.07,-40.35
-72.20,-40.52
-72.12,-40.59
-72.04,-40.53
-71.95,-40.77
-72.15,-40.77
-72.26,-40.97
-72.49,-41.10
-72.61,-41.33
-72.27,-41.25
-72.40,-41.76
-72.43,-41.87
-71.65,-42.07
-72.58,-42.38
-72.43,-42.78
-72.65,-42.83
-72.80,-43.18
-72.83,-43.42
-72.50,-43.68
-72.88,-44.08
-72.53,-44.30
-73.08,-44.67
-73.20,-45.10
-72.97,-45.90
-73.55,-49.02
-73.28,-49.36
-73.83,-50.17
-73.70,-50.98
-73.40,-52.33
-70.00,-52.00
-70.27,-54.95
-63.23,17.63
-62.95,17.48
-62.80,17.37
-62.58,17.15
-62.18,16.72
-61.67,16.05
-61.45,15.62
-61.42,15.50
-61.33,15.33
-61.37,15.22
-61.17,14.82
-61.05,13.83
-61.18,13.33
-61.63,12.30
-61.67,12.15
-23.78,64.80
-23.25,64.87
-22.23,64.87
-23.33,63.67
-22.50,63.88
-22.10,63.93
-21.83,63.92
-21.33,64.18
-20.87,64.03
-20.58,64.60
-19.98,64.75
-18.92,64.78
-19.32,64.63
-20.28,63.43
-19.62,63.63
-19.05,63.63
-19.57,63.78
-19.17,63.92
-19.67,63.92
-19.70,63.98
-17.33,64.42
-17.80,64.48
-17.53,64.63
-17.92,64.73
-16.72,64.65
-16.75,65.03
-16.65,65.43
-16.78,65.73
-16.83,65.88
-17.10,66.30
-16.65,64.00
-16.65,64.27
-18.50,66.67
-8.17,71.08
-65.60,88.27
-34.50,49.00
-25.83,39.95
-38.08,38.75
-31.17,39.40
-28.73,38.60
-28.40,38.47
-28.08,38.65
-27.97,39.02
-27.32,38.73
-26.63,38.23
-25.78,37.87
-25.67,37.78
-25.47,37.77
-25.32,37.77
-25.88,37.60
-17.83,28.58
-18.03,27.73
-16.64,28.27
-15.58,28.00
-14.02,28.36
-13.63,29.03
-24.35,14.95
-24.72,14.85
-25.17,17.07
-24.97,16.85
-21.83,7.00
-21.45,4.20
-15.83,-0.58
-24.50,-3.50
